Etablissement,N_inscrits
Aix-Marseille Université,10992
Avignon Université,1063
Bordeaux INP,12
Centrale Lyon,9
Centrale Nantes,22
CentraleSupélec,149
Centre universitaire de Mayotte,216
Institut national des langues et civilisations orientales,100
Institut national des sciences appliquées Centre Val de Loire,91
Institut national des sciences appliquées de Lyon,11
Institut national des sciences appliquées de Rouen Normandie,2
Institut national des sciences appliquées de Strasbourg,259
Institut national des sciences appliquées de Toulouse,1
Institut national universitaire Jean-François Champollion,904
Institut polytechnique de Grenoble,53
La Rochelle Université,798
Languedoc-Roussillon Universités,3138
Le Mans Université,910
Lille Nord de France,5599
Muséum national d'histoire naturelle,125
Paris-Est Sup,341
Sciences Po,100
Sciences Po Aix,12
Toulouse INP,12
Université Bordeaux Montaigne,6085
Université Bretagne Loire,2591
Université Bretagne Sud,526
Université Claude Bernard - Lyon 1,4881
Université Clermont Auvergne,4529
Université Côte d'Azur,173
Université Grenoble Alpes,8987
Université Jean Monnet,1667
Université Jean Moulin - Lyon 3,2844
Université Le Havre Normandie,1023
Université Lille 1 - Sciences technologies,1768
Université Lille 3 - Charles-de-Gaulle,9725
Université Lumière - Lyon 2,12801
Université Nice - Sophia-Antipolis,6522
Université Panthéon-Assas,489
Université Paris 1 - Panthéon Sorbonne,10822
Université Paris 8 - Vincennes - Saint-Denis,9957
Université Paris Dauphine - PSL,274
Université Paris Descartes,5727
Université Paris Diderot,3737
Université Paris Nanterre,8886
Université Paris-Est Créteil,7397
Université Paris-Est Marne-la-Vallée,2265
Université Paris-Saclay,684
Université Paris-Sorbonne,10962
Université Paris-Sud,112
Université Paul-Valéry - Montpellier 3,9114
Université Pierre-et-Marie-Curie,13
Université Rennes 2,9271
Université Savoie Mont Blanc,2294
Université Sorbonne Nouvelle - Paris 3,2202
Université Sorbonne Paris Nord,3696
Université Toulouse - Jean Jaurès,18160
Université Toulouse Capitole,259
Université Toulouse III - Paul Sabatier,920
Université d'Angers,5485
Université d'Artois,987
Université d'Orléans,2569
Université d'Évry-Val-d'Essonne,815
Université de Bordeaux,6725
Université de Bourgogne,6184
Université de Bretagne Occidentale,2360
Université de Caen Normandie,5918
Université de Cergy-Pontoise,6073
Université de Corse Pasquale Paoli,1075
Université de Franche-Comté,4187
Université de Guyane,1217
Université de Haute-Alsace,895
Université de La Réunion,2620
Université de Limoges,2426
Université de Lorraine,8917
Université de Montpellier,332
Université de Nantes,8561
Université de Nîmes,1343
Université de Pau et des Pays de l'Adour,1117
Université de Perpignan Via Domitia,1112
Université de Picardie Jules-Verne,5684
Université de Poitiers,5135
Université de Reims Champagne-Ardenne,3817
Université de Rennes 1,604
Université de Rouen Normandie,6148
Université de Strasbourg,9618
Université de Toulon,577
Université de Tours,4613
Université de Versailles Saint-Quentin-en-Yvelines,990
Université de la Nouvelle-Calédonie,717
Université de la Polynésie Française,599
Université de technologie de Belfort-Montbéliard,8
Université de technologie de Compiègne,26
Université de technologie de Troyes,228
Université des Antilles,1843
Université du Littoral Côte d'Opale,1108
Université polytechnique des Hauts-de-France,182
École des hautes études en sciences sociales,2177
École nationale des Chartes,146
École nationale supérieure des sciences de l'information et des bibliothèques,241
École normale supérieure PSL,515
École normale supérieure Paris-Saclay,177
École normale supérieure de Lyon,480
École pratique des hautes études,743
